especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2014,2014,Set,375.93
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2014,2014,Set,370.089
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2014,2014,Out,1046.312
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2014,2014,Out,665.367
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2014,2014,Out,334.221
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2014,2014,Out,345.049
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2014,2014,Nov,953.223
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2014,2014,Nov,627.543
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2014,2014,Nov,289.446
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2014,2014,Nov,302.616
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2014,2014,Dez,1024.762
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2014,2014,Dez,648.29
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2014,2014,Dez,213.478
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2014,2014,Dez,237.917
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2015,2015,Jan,1069.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2015,2015,Jan,681.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2015,2015,Jan,381.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2015,2015,Jan,384.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2015,2015,Fev,688.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2015,2015,Fev,411.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2015,2015,Fev,315.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2015,2015,Fev,324.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2015,2015,Mar,1025.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2015,2015,Mar,673.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2015,2015,Mar,299.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2015,2015,Mar,306.0
